-BEGIN HEADER-
NASA/POWER Source Native Resolution Daily Data 
Dates (month/day/year): 01/01/2024 through 12/31/2024 in LST
Location: latitude  -13.1429   longitude -74.1932 
elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 3592.73 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
parameter(s): 
T2M             MERRA-2 Temperature at 2 Meters (C) 
PRECTOTCORR     MERRA-2 Precipitation Corrected (mm/day) 
RH2M            MERRA-2 Relative Humidity at 2 Meters (%) 
-END HEADER-
YEAR,DOY,T2M,PRECTOTCORR,RH2M
2024,1,12.05,5.35,79.99
2024,2,11.47,8.12,83.0
2024,3,11.23,4.4,83.47
2024,4,9.34,19.06,87.89
2024,5,10.25,6.04,80.18
2024,6,11.06,0.45,82.47
2024,7,11.38,0.0,80.95
2024,8,11.69,0.0,78.99
2024,9,11.71,0.0,79.36
2024,10,11.87,0.0,78.19
2024,11,10.1,0.0,80.55
2024,12,11.25,1.23,84.35
2024,13,11.5,0.52,81.17
2024,14,10.65,0.0,83.4
2024,15,10.89,0.0,81.98
2024,16,11.23,0.0,84.49
2024,17,11.64,0.04,83.92
2024,18,11.43,3.72,81.97
2024,19,11.42,1.89,85.83
2024,20,10.79,0.15,84.67
2024,21,11.47,3.1,79.59
2024,22,11.47,0.37,82.73
2024,23,11.66,0.63,82.56
2024,24,11.99,0.23,81.25
2024,25,10.99,0.07,73.63
2024,26,12.25,0.06,74.19
2024,27,8.91,0.0,88.89
2024,28,11.29,0.49,78.32
2024,29,11.07,9.3,76.3
2024,30,10.94,5.85,85.13
2024,31,9.75,7.31,87.04
2024,32,10.57,0.77,79.05
2024,33,11.08,2.22,85.84
2024,34,11.49,3.24,83.21
2024,35,10.65,3.71,80.88
2024,36,11.46,0.79,73.78
2024,37,11.24,0.29,76.38
2024,38,10.31,9.86,85.33
2024,39,8.98,2.42,83.49
2024,40,11.65,0.09,65.5
2024,41,11.7,0.01,74.66
2024,42,9.76,0.0,80.34
2024,43,9.34,8.43,84.96
2024,44,10.71,9.3,85.04
2024,45,10.37,6.06,85.7
2024,46,10.99,0.85,82.79
2024,47,11.79,0.08,84.65
2024,48,10.85,0.02,89.38
2024,49,10.64,8.59,85.49
2024,50,10.16,0.92,79.7
2024,51,11.02,0.03,69.09
2024,52,12.07,0.0,66.15
2024,53,10.03,0.0,57.91
2024,54,10.42,11.98,78.21
2024,55,10.71,10.51,84.39
2024,56,9.28,11.87,88.95
2024,57,9.5,12.29,85.04
2024,58,10.42,11.47,84.58
2024,59,10.64,18.17,87.74
2024,60,10.4,3.54,86.57
2024,61,9.91,0.53,86.32
2024,62,9.67,0.06,83.69
2024,63,10.49,4.1,83.23
2024,64,9.77,7.49,87.07
2024,65,10.52,3.59,84.81
2024,66,10.82,0.25,84.48
2024,67,10.58,0.02,84.46
2024,68,10.45,6.92,86.74
2024,69,10.52,2.73,87.92
2024,70,10.78,0.31,88.0
2024,71,10.74,0.05,84.41
2024,72,11.08,0.0,85.43
2024,73,10.8,0.0,83.76
2024,74,10.31,0.0,83.64
2024,75,10.42,0.01,81.18
2024,76,11.63,0.08,83.5
2024,77,10.66,2.16,89.61
2024,78,11.04,0.62,85.73
2024,79,10.55,11.32,87.89
2024,80,10.45,0.64,82.71
2024,81,10.91,0.05,84.65
2024,82,10.08,7.74,87.9
2024,83,10.96,1.36,89.15
2024,84,10.74,6.33,85.45
2024,85,10.71,4.85,82.8
2024,86,9.93,14.97,86.65
2024,87,9.45,12.15,84.16
2024,88,8.15,11.29,89.61
2024,89,9.2,4.58,87.09
2024,90,10.76,3.38,85.81
2024,91,9.88,25.72,91.06
2024,92,10.47,6.55,86.52
2024,93,10.12,0.0,88.59
2024,94,9.22,0.0,86.86
2024,95,9.86,0.01,87.15
2024,96,10.54,2.12,87.98
2024,97,10.52,7.81,89.95
2024,98,10.82,0.77,88.22
2024,99,10.87,0.03,87.5
2024,100,10.22,1.2,90.3
2024,101,10.92,0.43,89.28
2024,102,8.87,3.26,88.66
2024,103,10.33,2.18,80.29
2024,104,11.99,0.0,83.02
2024,105,12.15,0.0,77.23
2024,106,11.23,0.0,75.06
2024,107,10.68,0.0,82.23
2024,108,8.94,0.0,87.72
2024,109,9.12,0.0,90.01
2024,110,10.32,0.0,85.52
2024,111,10.18,0.0,85.77
2024,112,10.48,0.34,81.41
2024,113,9.51,0.25,85.85
2024,114,10.66,7.29,85.1
2024,115,9.39,2.77,88.61
2024,116,9.36,0.07,87.37
2024,117,10.5,0.01,85.36
2024,118,9.82,0.0,85.07
2024,119,10.14,0.0,82.08
2024,120,10.21,0.0,84.01
2024,121,10.54,0.0,81.82
2024,122,10.61,0.0,84.29
2024,123,7.91,4.61,87.13
2024,124,9.26,3.23,82.01
2024,125,9.17,0.12,89.25
2024,126,10.65,0.03,84.57
2024,127,11.08,0.0,83.26
2024,128,11.35,0.0,85.17
2024,129,11.51,0.0,85.29
2024,130,11.29,0.0,87.06
2024,131,10.48,0.0,85.7
2024,132,10.65,0.0,79.06
2024,133,11.09,0.0,81.4
2024,134,11.1,0.0,84.81
2024,135,10.62,0.52,85.76
2024,136,9.39,2.2,88.12
2024,137,8.72,6.27,85.91
2024,138,8.81,9.69,83.85
2024,139,10.34,1.38,84.55
2024,140,9.03,0.0,87.59
2024,141,9.34,0.0,82.5
2024,142,8.92,0.0,84.35
2024,143,10.3,0.0,85.24
2024,144,10.85,0.0,82.45
2024,145,10.33,0.0,77.96
2024,146,10.63,0.0,77.08
2024,147,10.45,0.0,82.52
2024,148,9.97,0.0,78.3
2024,149,9.3,5.45,84.98
2024,150,9.21,0.23,83.05
2024,151,8.91,0.0,75.58
2024,152,8.46,0.0,71.08
2024,153,9.4,0.0,71.79
2024,154,9.91,1.62,74.53
2024,155,8.39,0.07,80.72
2024,156,7.7,0.0,68.0
2024,157,7.47,0.0,64.33
2024,158,7.5,0.0,64.75
2024,159,7.15,0.0,58.69
2024,160,7.02,0.0,61.16
2024,161,6.8,0.0,64.61
2024,162,7.72,0.0,74.39
2024,163,8.92,0.0,86.37
2024,164,10.37,0.0,83.64
2024,165,10.95,0.0,80.93
2024,166,11.04,0.0,80.43
2024,167,10.15,0.0,83.51
2024,168,10.64,0.0,82.19
2024,169,10.74,0.0,82.06
2024,170,9.19,2.7,80.81
2024,171,5.9,4.95,79.76
2024,172,5.52,0.85,85.71
2024,173,7.19,0.0,79.9
2024,174,9.78,0.0,78.72
2024,175,10.23,0.0,74.1
2024,176,10.0,2.3,82.93
2024,177,9.14,0.13,84.87
2024,178,9.32,0.0,81.02
2024,179,9.54,0.0,81.52
2024,180,10.02,0.0,80.21
2024,181,10.04,10.48,86.01
2024,182,9.31,1.59,85.22
2024,183,8.22,0.01,82.62
2024,184,9.17,0.0,78.03
2024,185,9.34,0.0,78.18
2024,186,9.25,0.0,71.31
2024,187,9.14,0.0,79.31
2024,188,9.24,0.0,80.21
2024,189,9.48,0.0,78.73
2024,190,9.81,0.0,80.63
2024,191,10.21,0.0,75.47
2024,192,10.26,0.0,64.02
2024,193,8.91,0.0,55.87
2024,194,9.12,0.0,78.87
2024,195,9.03,0.0,78.69
2024,196,9.69,0.0,77.43
2024,197,9.11,0.0,75.95
2024,198,8.39,0.0,74.04
2024,199,6.63,0.0,65.11
2024,200,6.06,0.0,51.54
2024,201,5.61,0.0,59.69
2024,202,5.5,0.0,72.31
2024,203,7.25,0.0,72.95
2024,204,7.3,4.71,80.55
2024,205,8.23,0.21,80.28
2024,206,8.9,0.0,74.95
2024,207,9.01,0.0,77.78
2024,208,9.83,0.0,78.17
2024,209,10.03,0.0,81.85
2024,210,10.01,0.0,81.55
2024,211,9.47,0.0,80.96
2024,212,8.4,0.0,74.34
2024,213,8.91,0.0,72.02
2024,214,9.38,0.0,71.16
2024,215,10.12,0.0,71.94
2024,216,9.46,0.0,78.23
2024,217,8.11,0.52,79.53
2024,218,7.39,0.25,73.7
2024,219,9.28,0.0,53.6
2024,220,9.1,0.0,49.55
2024,221,7.24,0.0,63.48
2024,222,7.71,0.0,68.43
2024,223,9.45,0.0,72.04
2024,224,9.39,0.01,65.85
2024,225,8.16,0.0,77.02
2024,226,8.82,0.0,73.55
2024,227,8.86,0.0,69.3
2024,228,8.44,0.0,67.9
2024,229,8.31,0.0,67.18
2024,230,8.38,0.0,70.3
2024,231,9.29,0.0,74.32
2024,232,9.65,0.0,72.95
2024,233,9.69,0.0,79.93
2024,234,10.55,0.0,77.87
2024,235,11.95,0.0,75.16
2024,236,12.01,0.0,77.48
2024,237,10.71,0.0,82.81
2024,238,10.4,0.0,78.81
2024,239,10.37,0.0,73.9
2024,240,10.33,0.0,70.36
2024,241,9.39,0.0,73.9
2024,242,10.07,0.1,74.69
2024,243,9.45,0.05,75.44
2024,244,9.97,0.0,72.59
2024,245,9.14,0.0,75.84
2024,246,8.89,0.0,76.68
2024,247,10.19,8.31,72.79
2024,248,10.0,0.58,73.81
2024,249,9.51,0.0,78.08
2024,250,10.83,0.0,70.28
2024,251,9.29,0.0,77.73
2024,252,9.97,0.0,72.64
2024,253,10.33,0.0,71.6
2024,254,10.43,0.0,70.81
2024,255,10.67,0.0,69.32
2024,256,11.09,0.0,67.66
2024,257,9.59,0.0,78.83
2024,258,9.61,2.96,70.16
2024,259,6.66,2.87,89.01
2024,260,7.66,0.27,82.26
2024,261,9.7,0.0,76.46
2024,262,9.46,0.01,75.9
2024,263,10.57,0.02,73.94
2024,264,11.13,0.0,76.69
2024,265,10.57,0.0,76.7
2024,266,10.88,0.0,70.12
2024,267,11.3,0.89,70.1
2024,268,10.87,0.29,75.2
2024,269,11.19,1.66,77.85
2024,270,9.79,0.64,81.69
2024,271,7.33,6.57,80.75
2024,272,10.15,0.51,78.07
2024,273,10.75,0.0,74.67
2024,274,10.91,0.0,73.59
2024,275,11.44,0.0,72.42
2024,276,12.19,3.37,71.56
2024,277,11.23,5.05,77.35
2024,278,11.61,0.02,77.27
2024,279,11.27,0.01,67.98
2024,280,10.86,0.0,75.27
2024,281,9.68,0.0,75.56
2024,282,9.52,1.51,73.56
2024,283,10.33,0.03,72.59
2024,284,12.11,0.0,67.56
2024,285,11.09,0.0,74.38
2024,286,8.87,0.39,70.52
